input,output
这位太子说道：“孙大圣果然是个勇猛的好汉！这一路上拳势如行云流水，令人叹为观止。运用分身之法，更显出他的非凡实力，真是让人眼前一亮。”,这太子道：“孙大圣还是个好汉！这一路拳，走得似锦上添花。使分身法，正是人前显贵。”
揭谛金头说道：“大圣，这铙钹不知是什么宝贝，上上下下合成一块，我神力微薄，无法撼动。”,金头揭谛道：“大圣，这铙钹不知是件甚么宝贝，连上带下，合成一块。小神力薄，不能掀动。”
"八戒问道：“师父说了什么？""",”八戒道：“师父曾说甚来？
那怪听了，毫不示弱，手持长枪向行者刺去。,那怪闻言，不知好歹，展长枪就刺行者。
行者问道：“你想尝尝吗？”,行者道：“你要吃么？”
八戒穿上直製，双手握住钯，大声喊叫，然后冲了进去。,这八戒束了皂直裰，双手缠钯，一声喊，打将进去。
那和尚看到行者的长相，感到有些害怕，便问道：“那骑马的人是什么东西？”,那和尚忽见行者相貌，有些害怕，便问：“那牵马的是个甚么东西？”
大圣挥舞着铁棒，施展着各种技巧，猛烈地攻击着。,好大圣，把铁棒一路丢开解数，打将出去。
那些城墙上的小妖们纷纷奔走，将城门敞开，下令各营降下旗帜，停止鼓声，告诫道：“之前大王已经下达了命令，禁止吓坏唐僧。唐僧害怕吓，一旦受到惊吓，就会变得酸溜溜的，难以食用。”,那城上大小妖精，一个个跑下，将城门大开，吩咐各营卷旗息鼓，不许呐喊筛锣，说：“大王原有令在前，不许吓了唐僧。唐僧禁不得恐吓，一吓就肉酸不中吃了。”
祖师说：“不行，不行！”,祖师道：“不能！不能！”
行者化作一只乌凤，solely pursuing the elusive yellow eagle.,行者又变作一个乌凤，专一赶黄鹰。
太宗问：“崔珪是做什么的？」,太宗道：“崔珪是谁？”
那揭谛在涧边呼唤了两次。,那揭谛果去涧边叫了两遍。
在黑水河中提前到达的行者说道：“亲爱的太子，你好好地捕捉那个怪物，我要上岸了。”,早到黑水河中，行者道：“贤太子，好生捉怪，我上岸去也。”
太子说：“我要感激天地赐予的土地，感激太阳和月亮赐予的光明，感激国王赐予的水和土，也要感激父母养育之恩。”,”太子道：“感天地盖载之恩，日月照临之恩，国王水土之恩，父母养育之恩。
