用户名,文本,情感,立场,话题,观点,敌意,领域
赖清德,"「爱好自由的人们应该互相关照」
感谢立陶宛前外长蓝柏吉斯深化台立关系
无论是克服疫情挑战或是对抗威权主义扩张，立陶宛前外长蓝柏吉斯（Gabrielius Landsbergis）都坚定与台湾站在一起，也坚持捍卫民主价值。
今天我在总统府，颁赠「特种大绶景星勋章」给蓝柏吉斯，感谢他对台湾的支持与付出，也表扬他在立陶宛外交部长任内的卓越贡献，成为深化台立关系的关键推手。
像是疫情期间，在蓝柏吉斯的努力下，立陶宛是第一个捐赠疫苗给台湾的欧洲国家。当时，蓝柏吉斯说：「爱好自由的人们应该互相关照」。
蓝柏吉斯也以行动持续落实这句话的精神，在他的坚定支持下，台湾和立陶宛不仅互设代表处，我们驻立陶宛的代表处也成为欧洲第一个以「台湾」名义设立的代表机构。
当前威权主义势力持续合流，台湾和立陶宛等民主国家，更要发挥团结力量，共同守护民主自由，维护以规则为基础的国际秩序。
我们非常期待，未来台湾和立陶宛，能够在经贸、科技和文化等领域有更多合作交流；并继续发扬民主和自由的价值，为双方国家的进步发展以及全球的和平繁荣贡献心力。",自豪,对台湾表达了支持,台立关系深化与民主合作,赖清德感谢蓝柏吉斯深化台立关系,有敌意,政治
赖清德,"鱼夫（林奎佑）的一生，都在为台湾打拚，回报滋养他成长的这块土地。他的骤然离世，大家都非常不舍。
今天，我怀著不舍的心情回到台南，与大家共同追思鱼夫精采的一生，同时也代表国家颁发褒扬令，表彰鱼夫对台湾民主和文化的贡献。
我认识的鱼夫，是一位真性情、有智慧、充满勇气和理想的人。他是作家、漫画家、评论家，也是美食专家，他的创作与评论总是直指问题核心，引起社会的关注与热潮。
他的政治漫画《蒋经国开路》是台湾新闻史上，首次将国家元首「漫画化」，奠定了台湾本土政治漫画的基础；除了在政治社会议题的创作震撼人心，在软性的美食领域也同样令人感动。
他用创作挑战威权、用评论推动台湾民主，致力宣扬台湾文化，这样的勇气与才华，令人钦佩。
我要代表台南市民与台湾人民向鱼夫说声感谢。鱼夫关心的台湾，我们会团结守护；鱼夫推动的民主，我们会继续深化，不因任何挑战而改变；鱼夫关心的台湾文化，我们也会继续宣扬。
祝福鱼夫一路好走，在西方极乐世界逍遥自在。",悲伤,对台湾民主表达了支持,鱼夫对台湾民主文化贡献,赖清德赞扬林奎佑对台湾的贡献,无敌意,文化
赖清德,"坐在一起吃顿饭，就是最好的陪伴
年节将至，今天我到新北三峡，和住在山中的赵阿嬷一起吃饭，也向他拜个早年。 弘道老人福利基金会 带了装满物资的「年货百宝机车」，让阿嬷自己挑选生活用品，也可以感受逛年货大街的心情。
我听说阿嬷很喜欢吃菜头粿，虽然我很久没有下厨了，但当阿嬷和我一起煎菜头粿，整间屋子瞬间热闹起来，而且充满年味与温暖。
今天在饭桌上，还有几位好久不见的老朋友，101岁的「不老骑士」郭爷爷、69岁的「不老棒球员」詹先生。看到他们神采奕奕、精神抖擞，我也非常开心。
我要特别感谢弘道，持续以实际行动关怀独居长辈。在台湾迈入「超高龄社会」的今年，我也期许更多民间团体能与政府持续合作，展现对高龄议题的重视，让更多长辈都能享有精采美好的老后生活。
最近的天气比较冷，请大家要注意保暖、关心身边的年长者。祝福所有长辈都平安健康，呷百二！",自豪,无,关怀独居长辈的活动,赖清德强调关怀独居长辈的重要性,无敌意,社会
赖清德,"年轻人是国家未来的栋梁
欢迎杰出的台湾科学英雄！
去年，有10项不同学科的奥林匹亚竞赛，台湾共有47人次参与，总计获得22面金牌、14面银牌、10面铜牌及3面荣誉奖，个人赢得荣耀、也为国争光。
今天我和这一群台湾科学英雄见面，我鼓励同学们，要持续不断地追求自己的梦想，为人类创造更多福祉。
政府也会做大家的后盾，我们会以不同管道培育人才，持续推动优质科学教育；更鼓励同学参与国际科学竞赛，吸引更多人投入科学研究，让台湾的科学教育不断发展与进步。
尤其，台湾是世界的科技重镇，面对未来产业的科技变革，政府将持续奠基科技国力、培育科技人才，要发挥台湾的优势，带动产业创新与发展，让台湾在国际上保持领先地位。
恭喜每一位在「国际数理学科奥林匹亚竞赛」脱颖而出的同学，也感谢所有教授及老师的大力支持，你们都是台湾的骄傲！",极端自豪,无,台湾科学教育与人才培育,赖清德强调台湾重视科学人才培养,无敌意,文化
赖清德,"积极落实「和平四大支柱行动方案」
加深与民主国家合作、促进世界繁荣发展
今天，我在总统府欢迎「雷根总统基金会暨纪念中心」访问团来到台湾，并代表全体国人向加州目前发生的大火表达关心及慰问。
该中心承袭雷根总统志业，倡导「个人自由」、「经济机会」、「全球民主」及「国家尊严」等理念。雷根总统在1982年提出的「六项保证」，以及美国国会在1979年通过的《台湾关系法》，都是台美关系的坚实基础。其中，「六项保证」更被纳入《2018年亚洲再保证倡议法》，奠定了美国跨党派、跨国会两院、跨部门对台湾的支持。
当前威权主义持续扩张，雷根总统「和平靠实力」的信念，对于民主国家团结维护自由、民主、和平，以及以规则为基础的国际秩序，都显得格外重要。
未来，台湾会积极落实「和平四大支柱行动方案」，加深台湾与美国、和其他民主国家的合作，确保区域的和平稳定，捍卫民主自由价值，促进世界繁荣发展。",自豪,对台独表达了支持,台美关系与民主合作,赖清德强调加深与民主国家合作,有敌意,政治
赖清德,"针对近日立法院的纷争，稍早我在中常会上，特别感谢民进党立院党团，为坚守民主程序、宪政制度和人民福祉所付出的心力。因为受制于立院席次的差距，我们可以理解党团同志的感受，但我们不能退却，更要积极阐述我们巩固、深化民主的决心。
同时，宪法也赋予宪政机关行使各种救济的权利，除了立法议事程序之外，尚有其他的宪政程序可以努力，行政院已经提出覆议，提供立法院重新审视的空间，宪政机关也可以声请释宪，透过宪法法庭的判决，来明确宪政分际、维护宪政秩序、逐步巩固宪政体制。
民主民主，就是人民作主，维持稳定的宪政体制运作，就能巩固、深化民主，宪法所赋予人民的权利也能更加落实，对于公民团体自主发起的行动，都属于人民的权利，民进党皆予以尊重。
对民主要坚持，不能失望。我们谨记民主得来不易，所以更加明白民主需要细心照顾，走过困难和挑战，必定能更加确立我们对民主的坚持。
我希望，全体党公职要团结一致、众志成城，审慎面对难题、一一克服各项挑战，守护民主宪政的决心不能减少、带领国家前进的步伐不能停滞。
我也要再次呼吁朝野政党，不分中央地方、不分党派共同努力，以人民福祉、国家利益为优先，让国政顺利推动，让台湾站稳脚步、大步向前。",自豪,对民进党表达了支持,民主与宪政体制的维护,赖清德强调坚持民主宪政决心,无敌意,政治
赖清德,"照顾农民、发展农业、壮大台湾，一直是我从政以来，问政与施政的重点，过去如此，未来也不会改变。我的母亲是一位农民，农民的辛劳与付出也让我感受特别深刻。 
今天，我和许多关心台湾农业、关心这块土地的好朋友，一起分享全国十大神农以及模范农民得奖人的荣耀和喜悦。
农业是台湾百工百业的「起家厝」，更是维系台湾经济安全重要的根本。即便台湾的半导体、AI等高科技产业在世界崭露头角，我们仍然需要农民守护台湾的「起家厝」，持续为产业发展打下根基，台湾经济的表现才能更加亮眼。
而面对极端气候及数位转型的挑战，政府也积极推动「幸福农业、快乐农民」的相关政策，像是完成农民三保一金福利体系，包括精进「农民健康保险」、开办「农民职业灾害保险」、扩大「农业保险」，以及建立「农民退休储金」，让农民享有职业安全及生活保障，也希望让更多青年从农，为农村注入活水。
政府会继续努力，提供农民、农村及农业最大的帮助，让我们的农产品立足台湾、布局全球、行销全世界，让台湾农业转型成具韧性的永续产业！",自豪,无,台湾农业发展与政策,赖清德承诺持续支持台湾农业发展,无敌意,政治
赖清德,"欢迎瓜地马拉艾特维（Luis Raúl Estévez López）大使来台履任
两国相互扶持、让情谊更上一层楼
今天很高兴，在总统府接受瓜地马拉新任驻台特命全权大使艾特维，呈递到任国书。去年，我们和瓜地马拉庆祝90周年邦谊，非常欢迎艾特维大使，在这个重要时刻抵台履新，见证两国邦谊迈向新的里程碑。
艾特维大使是非常杰出的资深外交官，曾经担任美洲国家组织以及国际法院常任代表，资历非常丰富，这次派驻台湾，充分显示阿雷瓦洛（Bernardo Arévalo）总统对于两国邦谊的重视。
近年来，台湾和瓜地马拉的交流越来越密切。两国在医疗卫生、农业技术以及教育文化等领域，都有丰硕的合作成果。
期待新的一年，在艾特维大使的支持和协助之下，台湾和瓜地马拉继续相互扶持，促进两国繁荣发展。",自豪,对台湾表达了支持,瓜地马拉大使履新及两国关系发展,赖清德欢迎瓜地马拉大使履任,无敌意,政治
赖清德,"打造人工智慧岛
「大南方新矽谷」推动方案启动
很高兴在新年的开始回到台南，见证「大南方新矽谷」推动方案启动，以及「AI创新应用大楼」的正式招商。
我在520的就职演说中，提到要将台湾打造成「人工智慧岛」，并且实现「均衡台湾」、「韧性台湾」与「健康台湾」的愿景。
如今，全球迈入全智慧化时代，台湾自身半导体、ICT产业的强大实力与优秀人才，以及我们对民主价值的坚持，都让台湾稳健迈向「人工智慧岛」
同时，行政院所推动的「 #兆元投资国家发展方案」、「 #六大区域旗舰计划」，也针对各行政区拟定发展策略，为区域均衡发展注入更多动能。
未来，我们不仅将以沙仑智慧绿能科学城作为「大南方新矽谷」推动方案的核心，串接嘉义到屏东的产业打造AI的S廊带；提升台湾AI自主研发、系统整合的能力，并且培养各行各业应用人工智慧的文化。
我相信，随著国内区域的均衡发展，以及国力稳健提升，台湾科技与AI产业的优势，不仅让整体经济更具韧性，我们也能将强化与民主伙伴的合作，建构更稳固的民主供应链。",自豪,无,台湾人工智慧岛发展计划,赖清德推动台湾成为人工智慧岛,无敌意,经济
赖清德,"兴安专案首次「旅级」规模的全营区整建工程完工启用！
陆军清泉岗营区的部分营舍，已经使用超过50年，为了改善官兵生活品质，政府继续执行「兴安专案」、投入预算进行营舍新建。
作为专案首次旅级规模的营区整建工程，我们不仅仅兴建了营舍大楼、联合餐厅、以及多功能集会中心，也兴建了战训所用的附属设施。
身为三军统帅，官兵生活设施的改善、是我的首要关切。我深信新建营舍的完成，可以让官兵更专注于战训本务，增强对军队的归属感，在保卫国家上，付出最大心力。
藉著今天的参访，我也前往海锋第一大队，感谢辛苦的海军官士兵。因为有国军弟兄姊妹，不分昼夜、坚守岗位、捍卫国土、守护主权，才有国人和平的日常。
我们是追求有实力的和平、热爱民主生活的国家，全体国军，永远都是守护国家与人民安全的稳定力量。新的一年，我们会继续一起守护国家安全，让人民在安居乐业的环境下，自由的生活打拚。",自豪,无,兴安专案营区整建工程完工,赖清德强调改善官兵生活设施,有敌意,军事
